QID,part of___P361,instance of___P31,version___None,description___None,label,discoverer or inventor___P61,time of discovery or invention___P575,constellation___P59,image___P18,absolute magnitude___P1457,epoch___P6259,declination___P6258,distance from Earth___P2583,right ascension___P6257,declination component of proper motion___P10751,radial velocity___P2216,mass___P2067,right ascension component of proper motion___P10752,apparent magnitude___P1215,parallax___P2214,type of variable star___P881,stellar rotational velocity___P4296,spectral class___P215,radius___P2120,metallicity___P2227,effective temperature___P6879,surface gravity___P7015,redshift___P1090,orbital eccentricity___P1096,parent astronomical body___P397,semi-major axis of an orbit___P2233,argument of periapsis___P2248,orbital period___P2146,time of periapsis___P11796,galaxy morphological type___P223,orbital inclination___P2045,mean anomaly___P2325,periapsis___P2244,longitude of ascending node___P2213,apoapsis___P2243
Q5098370,Zeta Coronae Borealis,star,2298462138,star system in the constellation Corona Borealis,Zeta2 Coronae Borealis,,,Corona Borealis,,,J2000.0,36.63581105988,155.62,234.84447017954,-7.465,0,3.73,-15.51,4.979,6.4259,,50,B7V,,,,,,,,,,,,,,,,,
Q88390889,,astronomical radio source,2410772830,astronomical radio source in the constellation Cetus,3C 63,,,Cetus,http://commons.wikimedia.org/wiki/Special:FilePath/3C%2063%20NVAS%201.43I1.67%20AH0528%201995AUG11%201%20133.U38.5S.jpg,,J2000.0,-1.9475,,35.23167,,47932,,,18.5,,,,,,,,,0.173,,,,,,,,,,,,
Q82050743,,double star,2317291934,,** GIC 91,,,Ursa Major,,,J2000.0,43.840417,27.2575,149.8371967684167,-220.4,-7,,-100.712,12.8716,36.6872,,,M5V,,0.17,,,,,,,,,,,,,,,
Q136207034,,variable star,2403260620,variable star,V566 Virginis,,,Virgo,,,J2000.0,-1.49982899536,56868,217.91130185411,,,,,,,RR Lyrae variable with asymmetric light curves,,,,,,,,,,,,,,,,,,,
Q76933948,,RR Lyrae variable,2309775242,RR Lyrae variable star in the constellation Ursa Major,TU Ursae Majoris,,,Ursa Major,,,J2000.0,30.0673278730137,639.7134,172.4520400505616,-53.496,98.5,,-69.329,9.26,1.5632,RR Lyrae variable with asymmetric light curves,,F2,,-1.31,6200,126,,,,,,,,,,,,,
Q86555332,,near-IR source,2298406226,Mira variable star in the constellation Hercules,V460 Herculis,,,Hercules,,,J2000.0,17.9729506079,,257.58607678038,-3.899,-24.41,,-0.553,10.333234,0.2197,SRa semi-regular variable star,,M6,,,,,,,,,,,,,,,,,
Q60237698,,spiral galaxy,2406139783,galaxy,Markarian 463,,,,,,J2000.0,18.3718,221,209.0121,,14724,,,14.22,,,,,,,,,0.050382,,,,,,,,,,,,
Q135577,Upper Centaurus-Lupus,star,2336983470,star in the constellation Lupus,Theta Lupi,,,Lupus,,-1.29,J2000.0,-36.80227052962,135.713,241.64809992840003,-32.242,6,,-18.145,4.201,7.3685,,331,B2.5Vn,4.5,,,,,,,,,,,,,,,,
Q88650426,,RS Canum Venaticorum variable,2315067867,,CQ Aurigae,,,Auriga,,,J2000.0,31.3281114217262,364.3651,90.9735299061616,-4.157,28.62,,-3.814,8.99,2.7445,eclipsing binary star,,G0,,,,,,,,,,,,,,,,,
Q18201,,moon of Saturn,2415148396,moon of Saturn,Aegir,Scott S. Sheppard,2004-12-12T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Aegir%2C%20sa%C3%A9lite.jpg,,,,,,,,,,,,,,,,,,0.0019,,0.252,Saturn,19618384,,1025.908,,,166.7,,,,
Q3716886,IC 3854,galaxy,2391234286,galaxy,IC 3854-1,,,,,,J2000.0,40.8483278,,193.3031,,19084,,,18.378,,,,,,,,,0.06582,,,,,,,,,,,,
Q74060479,,Mira variable,2315920292,Mira variable star in the constellation Andromeda,DL Andromedae,,,Andromeda,,,J2000.0,48.9552910027293,,352.4458504496691,-1.371,,,-0.402,10.1022,0.7687,SRa semi-regular variable star,,M7,,,,,,,,,,,,,,,,,
Q384356,,star,2427179437,star in the constellation Aries,55 Arietis,,,Aries,,-1.81,J2000.0,29.07708184679,267.695,47.40308672423,-12.531,-8.9,4.1,20.368,5.74,3.7356,,196,B8III,,,11097,887,,,,,,,,,,,,,
Q1115139,Coma Cluster,active galactic nucleus,2303616845,galaxy in the constellation Coma Berenices,NGC 4872,William Herschel,1785-04-11T00:00:00Z,Coma Berenices,http://commons.wikimedia.org/wiki/Special:FilePath/SDSS%20NGC%204872.jpg,,J2000.0,27.9468556532368,96.83,194.8921721985374,,7210,,,14.1,,,,,,,,,0.02395,,,,,,,SB0,,,,,
Q1114831,Coma Cluster,low-ionization nuclear emission-line region,2406133253,galaxy,NGC 4842-2,Heinrich Louis d'Arrest,,Coma Berenices,http://commons.wikimedia.org/wiki/Special:FilePath/NGC4842%20-%20SDSS%20DR14.jpg,,J2000.0,27.4848283475521,105.3,194.4005556067785,,7147,,,15.1,,,,,,,,,0.02413,,,,,,,SB0,,,,,
Q18207,,moon of Saturn,2427626497,moon of Saturn,Narvi,David Clifford Jewitt,2003-02-05T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Narvi.jpg,,,,,,,,340,,23.8,,,,,,,,,,0.431,Saturn,18719000,,-1003.9,,,145.8,,,,
Q31899201,,near-IR source,2298781137,variable star in the constellation Cancer,T Cancri,,,Cancer,,,J2000.0,19.84914442982,962.464,134.16723996003,4.497,6.1,,-6.919,7.6,1.039,SRb semi-regular variable star,,C-N5_C2_5_MS3_tau1_SiC1,,,,,,,,,,,,,,,,,
Q79830705,,non-periodic comet,2333953171,comet,C/2019 T2 (Lemmon),,,,,12.7,"February 26, 2021",,,,,,,,,,,,,,,,,,0.9987218470605483,,2070.091183202414,239.3863150429521,34401916.73256667,2459326.772839667,,111.4880947113182,359.9994215955339,2.64589313074313,155.641810807592,4137.536473274085
Q74190585,,emission-line star,2323290427,,EM* UHA 125,,,,,,J2000.0,43.9510659965137,742.3905,315.5797576247355,-8.341,,,-2.602,14,1.347,,,M7,,,,,,,,,,,,,,,,,
Q748181,,spiral galaxy,2303613211,galaxy,NGC 3609,Otto Wilhelm von Struve,1869-03-18T00:00:00Z,Leo,http://commons.wikimedia.org/wiki/Special:FilePath/NGC3609%20-%20SDSS%20DR14.jpg,,J2000.0,26.6257933283637,,169.4608937445553,,8102,,,13.3,,,,,,,,,0.02702,,,,,,,Sbc,,,,,
Q85098840,,active galactic nucleus,2396924770,active galactic nucleus in the constellation Ursa Major,NAME SMM J123646.1+621449,,,Ursa Major,,,J2000.0,62.24748056,,189.18350042,,243116,,,25.48,,,,,,,,,1.77,,,,,,,,,,,,
Q85658245,,young stellar object,2277350242,young stellar object in the constellation Chamaeleon,NAME Cha J1305-7739,,,Chamaeleon,,,J2000.0,-77.666167,,196.42,,,,,22.16,,,,L1,,,,,,,,,,,,,,,,,
Q383506,,variable star,2298457766,star in the constellation Carina,Q Carinae,,,Carina,,-0.47,J2000.0,-52.53383586569,128.077,113.91550959642001,-11.593,63.32,,22.335,4.92,7.8078,,,K3III,,,,,,,,,,,,,,,,,
Q222239,,brown dwarf,2316110820,brown dwarf,2MASS 0348-6022,,2021-01-01T00:00:00Z,Reticulum,http://commons.wikimedia.org/wiki/Special:FilePath/2MASS%20J0348-6022%20JHK.png,,J2000.0,-60.3741833,7.8,57.0321708,-768.5,-14.1,43,-279.7,15.602,120.1,,,T7,0.91,,,,,,,,,,,,,,,,
Q90494904,,near-IR source,2298740221,Mira variable star in the constellation Auriga,VV Aurigae,,,Auriga,,,J2000.0,45.5196798086,,93.4256183269,-1.013,,,1.926,12.74,0.5096,long-period variable star,,M8e,,,,,,,,,,,,,,,,,
Q90845843,,near-IR source,2382617325,,MM Herculis,,,Hercules,,,J2000.0,22.14632787683,170.928,269.66049640371,-28.621,-51.19,,1.426,9.563,5.8504,rotating variable star,,G0,,,,,,,,,,,,,,,,,
Q2355660,Orion Molecular Cloud Complex,H II region,2302864351,emission nebula in the constellation Orion,IC 434,Williamina Fleming,1888-01-01T00:00:00Z,Orion,http://commons.wikimedia.org/wiki/Special:FilePath/HorseheadHunterWilson.jpg,,J2000.0,-2.5,,85.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Q89665703,,RS Canum Venaticorum variable,2322480089,,V638 Aurigae,,,Auriga,,,J2000.0,38.4019335227105,330.9286,88.3061599671592,-29.669,-65.12,,6.49,11.87,3.0218,,,,,,,,,,,,,,,,,,,,
Q80658479,,Beta Lyrae variable,2298779521,eclipsing binary star,VV Virginis,,,Virgo,,,J2000.0,-10.1562237469724,230.9119,211.3551360893706,-75.68,,,-76.076,11.8,4.3567,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q4636242,,Seyfert 1 galaxy,2400632145,galaxy,3C 303,,,Boötes,,,J2000.0,52.0270294510282,,220.7615046203815,-0.495,39371,,-0.33,18.29,0.1591,,,,,,,,0.14121,,,,,,,,,,,,
Q85577552,,peculiar star,2310874159,peculiar star in the constellation Libra,HD 126587,,,Libra,,,J2000.0,-22.2441643372449,646.3289,216.7515153500881,-53.441,149.74,,-14.976,9.6,1.5472,,,CEMP-no,,-3.29,4640,63,,,,,,,,,,,,,
Q87317865,,W Ursae Majoris variable,2336823615,W Ursae Majoris variable star in the constellation Cygnus,TYC 3562-1452-1,,,Cygnus,,,J2000.0,48.1331724204456,1057.0825,298.9634599184251,-8.798,-7,,-0.918,10.91,0.946,eclipsing binary star,,A1Vp,,-0.1,10799,8500,,,,,,,,,,,,,
Q12067377,,double star,2298781277,star in the constellation Pegasus,EE Pegasi,,,Pegasus,,,J2000.0,9.18476406775,129.031,325.00783518668,11.328,-22.6,,40.862,6.98,7.7501,eclipsing binary star,,A1III,,0.02,,,,,,,,,,,,,,,
Q87052001,,variable star,2321695126,variable star,DQ Aquarii,,,Aquarius,,,J2000.0,1.6010720100127,1545.1174,315.5651420620772,-7.891,,,-4.721,15.0015,0.6472,,,,,,,,,,,,,,,,,,,,
Q88459222,,S-type star,2325644164,,MX Aurigae,,,Auriga,,,J2000.0,44.1908313920387,,94.0403568745368,-0.478,,,-1.443,11.5541,0.7665,semiregular variable star,,Swk,,,,,,,,,,,,,,,,,
Q3648286,,Halley-type comet,2442245066,comet,C/1917 F1 (Mellish),John Edward Mellish,1917-03-19T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Comet%20Mellish%201917%20nla.news-page18600389-nla.news-article154977211.jpg,10.9,28 Farvardin 1296,,,,,,,,,,,,,,,,,,0.993029439409544,Sun,27.28569041552048,121.3139959941618,52059.60251015117,2421329.675420975,,32.68628345667515,0.0402773026557277,0.1901965582938094,88.67568407976177,54.38118427274716
Q91963698,,young stellar object,1893417312,young stellar object in the constellation Chamaeleon,SZ 53,,,Chamaeleon,,,J2000.0,-77.5146021050579,197.2542,196.3028194508979,-7.616,,,-20.688,16.59,5.0696,,,M1,,,,,,,,,,,,,,,,,
Q89429953,,RS Canum Venaticorum variable,2325884099,,V775 Herculis,,,Hercules,,,J2000.0,23.5566470072213,21.3479,283.9717714057625,-283.321,-2.44,,130.838,8.019,46.8431,,14.6,K0V,,0.1,4937,18600,,,,,,,,,,,,,
Q2888247,,UV-emission source,2401775594,star in the constellation Ursa Minor,24 Ursae Minoris,,,Ursa Minor,,,J2000.0,86.96804756796,48.272,262.69828949282,9.667,1.2,,55.291,5.756,20.716,,,kA2hA9mF0,,,,,,,,,,,,,,,,,
Q698534,,Seyfert 2 galaxy,2406157568,set of five interacting galaxies,Arp 107,,,Leo Minor,http://commons.wikimedia.org/wiki/Special:FilePath/Arp%20107%20%28NIRCam%20and%20MIRI%20Image%29%20%282024-132%29.png,,J2000.0,30.0578786143874,142.8,163.0622830127573,,10193,,,18.1594,,,,,,,,,0.0346,,,,,,,Sc+E,,,,,
Q3716986,IC 4061,star,2312321364,galaxy,IC 4061-1,,,,,,J2000.0,39.5831304167654,,195.2391119327724,,20712,,,18.095,,,,,,,,,0.07165,,,,,,,,,,,,
Q79886753,,eclipsing binary star,2324116592,,PS Boötis,,,Boötes,,,J2000.0,50.3492060489246,286.944,229.9339921131318,-8.631,-38.08,,-14.945,12.45,3.485,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q75392687,,emission-line galaxy,1905310352,,NAME SMM J123635+621237,,,,,,J2000.0,62.21148222,,189.14388292,,198972,,,24.53,,,,,,,,,1.22,,,,,,,Irr,,,,,
Q4405146,,binary star,2427179644,star in the constellation Aries,50 Arietis,,,Aries,,1.3,J2000.0,18.00498016643,121.181,45.13127130837,-25.386,,,0.172,6.8,8.2521,,,A0,,,,,,,,,,,,,,,,,
Q10940912,,variable star,2323227208,variable star in the constellation Cygnus,X Cygni,,,Cygnus,,,J2000.0,35.5877988145533,1113.2138,310.8507994428975,-5.001,7.7,,-6.797,6.47,0.8983,classical Cepheid variable,22,F7Ib,,0.09,5188,7,,,,,,,,,,,,,
Q1045728,,open cluster,2282058610,open cluster,NGC 1857,William Herschel,1780-09-30T00:00:00Z,Auriga,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%201857%20DSS.jpg,,J2000.0,39.29,2.8,80.014,-3.84,,,-1.94,7,,,,,,,,,,,,,,,,,,,,,
Q92955920,,carbon star,2330201168,carbon star in the constellation Canis Major,V425 Canis Majoris,,,Canis Major,,,J2000.0,-23.5127245598568,,111.0303283729096,1.714,,,-2.312,12.5772,0.3686,,,C-rich,,,,,,,,,,,,,,,,,
Q89560135,,eclipsing binary star,2331209397,eclipsing binary star,NAME CzeV153 Cep,,,Cepheus,,,J2000.0,69.0830572493084,464.231,357.4405213585902,-2.368,,,-8.069,12.1812,2.1541,,,,,,,,,,,,,,,,,,,,
Q76642909,,quasar,2160366675,quasar in the constellation Cetus,GALEX 2673671447384165604,,,Cetus,,,J2000.0,-10.468262047399,,21.4457599434302,-0.511,171652,,-1.616,19.62,,,,,,,,,0.9181,,,,,,,,,,,,
Q222238,,brown dwarf,2303610107,brown dwarf,2MASP J0345432+254023,,,Taurus,http://commons.wikimedia.org/wiki/Special:FilePath/DENIS-P%20J1228.2%E2%88%921547%20legacy%20dr10.jpg,,J2000.0,25.67312415909833,26.6955,56.4298352111221,-41.796,,,-94.374,18.8116,37.4595,,,L0,,,2300,,,,,,,,,,,,,,
Q5098080,,star,2298525683,star in the constellation Chamaeleon,Delta2 Chamaeleontis,,,Chamaeleon,,-0.71,J2000.0,-80.54018818094444,114.583,161.44585968076748,6.327,22.6,,-36.917,4.433,8.7273,,,B3V,3.9,,,,,,,,,,,,,,,,
Q84131476,,double star,2382245271,astrophysical X-ray source in the constellation Hydra,NAME HD 90737AB,,,Hydra,,,J2000.0,-25.80728204,,157.0504208,23.04,-5.6,,-57.9,9.06,11.22,,11,G0V,,,5981,,,,,,,,,,,,,,
Q66477358,Iota Ursae Majoris,spectroscopic binary,2315882955,,iot UMa A,,,,,,J2000.0,48.04183153024583,14.1565,134.80191551115124,-216.044,9,,-444.252,3.13,70.639,,154,A7V(n),,,,,,,,,,,,,,,,,
Q21540346,Local Group,dwarf galaxy,2415399099,galaxy,Triangulum II,,2015-01-01T00:00:00Z,Triangulum,,,J2000.0,36.178444,0.03,33.3225,,,,,,,,,,,,,,,,Milky Way,,,,,,,,,,
Q113452533,,brown dwarf,2176084004,,ZTF J0038+2030 b,,2021-01-01T00:00:00Z,Pisces,,,J2000.0,20.5072,,9.7292,,,59.3,,,,,,,0.783,,,,,,,0.0092,,0.4319208,,,89.71,,,,
Q10264906,,UV-emission source,2433060554,variable star in the constellation Pictor,Delta Pictoris,,,Pictor,,-3.27,J2000.0,-54.96864290893555,465.051,92.57461867599751,8.093,30.6,7.9,-3.754,4.72,2.1503,Beta Lyrae variable,270,B1/2(III)n,3.96,,,,,,,,,,,,,,,,
Q10338087,,star,2323694512,star in the constellation Lyra,Nu2 Lyrae,,,Lyra,,,J2000.0,32.55106028811,71.819,282.47048882880995,-11.771,9.7,1.91,-10.685,5.226,13.9238,,128,A3V,1.5,,8492,,,,,,,,,,,,,,
Q1123289,,spiral galaxy,2348311168,galaxy,NGC 5830,Lewis A. Swift,1887-04-23T00:00:00Z,Boötes,http://commons.wikimedia.org/wiki/Special:FilePath/NGC5830%20-%20SDSS%20DR14.jpg,,J2000.0,47.8753736253204,,225.4621095196736,,8466,,,14.3,,,,,,,,,0.02821,,,,,,,Sb,,,,,
Q8333368,,asteroid,2410672693,asteroid,(59076) 1998 VT14,Lincoln Near-Earth Asteroid Research,1998-11-10T00:00:00Z,,,15.06,"November 21, 2025",,,,,,,,,,,,,,,,,,0.1254915311258875,Sun,2.764028218423053,135.0414837933249,1678.464404945589,2461069.0460955002,,11.45791441418194,345.2981127825285,2.417166085217985,230.8911644424149,3.110890351628121
Q1169416,,low-surface-brightness galaxy,2354673284,galaxy,NGC 7800,William Herschel,1783-12-24T00:00:00Z,Pegasus,http://commons.wikimedia.org/wiki/Special:FilePath/NGC7800%20-%20SDSS%20DR14.jpg,,J2000.0,14.8055722,21.48,359.901275,,1752,,,12.6,,,,,,,,,0.0058,,,,,,,IrAB,,,,,
Q76889891,,Seyfert 1 galaxy,2213288648,Seyfert 1 galaxy in the constellation Hercules,Mrk 504,,,Hercules,,,J2000.0,29.4068286216571,,255.2824122274049,-0.129,10643,,-0.23,15.78,,,,,,,,,0.0369,,,,,,,SB,,,,,
Q1039221,,elliptical galaxy,2303425043,galaxy,NGC 798,Édouard Stephan,1871-12-10T00:00:00Z,Triangulum,http://commons.wikimedia.org/wiki/Special:FilePath/NGC798%20-%20SDSS%20DR14.jpg,,J2000.0,32.0774897783656,68.56,30.8317318747687,,,,,13.6,,,,,,,,,0.016832,,,,,,,E,,,,,
Q3599079,41 Aurigae,high proper-motion star,2449631419,star in the constellation Auriga,41 Aurigae A,,,Auriga,,,J2000.0,48.71098897017528,94.9064,92.9024648479325,-55.907,31,,15.085,6.15,10.5367,,138,A2Va+,,,,,,,,,,,,,,,,,
Q3648325,,hyperbolic comet,2376316151,comet,C/1991 Y1 (Zanotta-Brewington),,,,http://commons.wikimedia.org/wiki/Special:FilePath/A413%201992-01-24%20C1991%20Y1%20Zanotta-Brewington.jpg,10.2,"January 10, 1992",,,,,,,,,,,,,,,,,,1.000056697563823,,-11357.97278110887,197.8725244864647,,2448653.4914394673,,50.02822548115083,-0.00001790632637037373,0.6439693866566208,254.9082576555254,
Q66477352,,spectroscopic binary,2312370444,,d Ser A,,,,,,J2000.0,0.19610508884528,,276.8021154926208,-6.273,-33.17,,-2.818,5.322,3.4494,,,A0V,,-0.43,5060,810,,,,,,,,,,,,,
Q85130258,,BL Lacertae object,2437093118,astronomical radio source in the constellation Taurus,1ES 0414+009,,,Taurus,,,J2000.0,1.089971225017,,64.219167,0.214,74076,,-0.062,16.38,,,,,,,,,0.287,,,,,,,,,,,,
Q1047680,Rosette Nebula,nebula,2282060957,nebula,NGC 2246,Lewis A. Swift,1885-11-15T00:00:00Z,Monoceros,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%202237%20Rosette%20DSS.jpg,,J2000.0,4.985309,2.4,97.664747,,,,,,,,,,,,,,,,,,,,,,,,,,
Q74099992,IC 5146,emission-line star,2319329051,,[BNM2013] 41.04 281,,,,,,J2000.0,47.2504482348157,,328.3948509687986,-2.364,,,-3.152,20.29,1.4597,,,,,,,,,,,,,,,,,,,,
Q1045163,,H II region,2282101215,H II region in the constellation Dorado,NGC 1760,James Dunlop,1826-11-06T00:00:00Z,Dorado,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%201760%20DSS.jpg,,J2000.0,-66.53694,,74.08667,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1256257,Large Magellanic Cloud,globular cluster,2282203704,globular cluster in the constellation Dorado,NGC 1942,John Frederick William Herschel,1834-11-30T00:00:00Z,Dorado,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%201942%20DSS.jpg,,J2000.0,-63.94,,81.1792,,293.7,,,13.46,,,,,,-0.5,,,,,,,,,,,,,,,
Q75798343,,RR Lyrae variable,2323451064,RR Lyrae variable star in the constellation Boötes,DD Boötis,,,Boötes,,,J2000.0,23.5416702310919,,222.8336499649233,-0.247,,,-18.61,12.64,0.3227,RR Lyrae variables with nearly symmetric light curves,,,,,,,,,,,,,,,,,,,
Q8226103,,asteroid,2399263165,asteroid,(312636) 2009 WG229,Mount Lemmon Survey,2009-11-17T00:00:00Z,,,14.04,"May 5, 2025",,,,,,,,,,,,,,,,,,0.06532991387088094,Sun,5.349604607994682,320.0008177363152,4519.401790064499,2460069.9611203675,,3.628221823767328,58.19221412131658,5.000115399711122,128.7759461297858,5.699093816278243
Q1167609,,galaxy,2354671661,galaxy,NGC 7457,William Herschel,1784-09-12T00:00:00Z,Pegasus,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%207457%202MASS.jpg,,J2000.0,30.1449429078296,12.08,345.2496976124864,-1.678,813,,-0.954,11.87,0.8793,,,,,,,,0.002685,,,,,,,E-S0,,,,,
Q10355253,,variable star,2298475474,variable star in the constellation Leo,Psi Leonis,,,Leo,,-1.39,J2000.0,14.02170308319,188.509,145.93294510542,-2.014,11.52,,1.614,5.35,5.3048,slow irregular variable,,M2III,34.99,,,,,,,,,,,,,,,,
Q78800512,,Beta Lyrae variable,2316584815,,HY Canis Majoris,,,Canis Major,,,J2000.0,-16.8101102442875,141.1831,93.1617090467481,51.027,,,10.051,9.318,7.083,Beta Lyrae variable,,K0,,,,,,,,,,,,,,,,,
Q1014224,,near-IR source,2335525661,star in the constellation Serpens,Omega Serpentis,,,Serpens,,0.49,J2000.0,2.19650889006,76.321,237.57311176096002,-47.593,-3.65,2.17,30.264,5.217,13.1026,,0.99,G8III,11.062636,-0.21,4773,355,,,,,,,,,,,,,
Q869408,Virgo Cluster,spiral galaxy,2290579012,galaxy pair in the constellation Virgo,NGC 4567 and NGC 4568,William Herschel,,Virgo,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%204567%20%26%204568.png,,,11.24827,,189.13956,,2243,,,,,,,,,,,,0.00751,,,,,,,,,,,,
Q84365735,Scorpius–Centaurus Association,T Tauri-type star,2317725793,,MM Lupi,,,Lupus,,,J2000.0,-40.9296588711925,136.758,230.8565700153504,-24.731,5.1,,-21.415,12.07,7.3122,,,K2,,,,,,,,,,,,,,,,,
Q10941828,,star,2298473823,star in the constellation Ursa Major,60 Ursae Majoris,,,Ursa Major,,1.11,J2000.0,46.8342141646,109.151,174.63964489706,-27.31,-24.7,,-39.964,6.076,9.1616,,,F5IIIs,,,6829,,,,,,,,,,,,,,
Q58903900,,hyperbolic comet,2374767346,comet,C/2018 V1,Donald Machholz,2018-11-07T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/C2018%20v1-skypath.png,12.8,"November 16, 2018",,,,,,,,,,,,,,,,,,1.000390606749757,,-990.6509493436076,88.77491355817259,,2458456.008101698,,143.9879595892249,-0.0005534292952922258,0.3869549474667874,128.7220909046342,
Q86582494,,T Tauri-type star,2318070593,,NAME UZ Tau A,,,Taurus,,,J2000.0,25.87528395623361,131.196,68.1793167,-32.4,18.03,,3.403,14.2,7.6222,,19.3,M1.9,,,,,,,,,,,,,,,,,
Q76642641,,quasar,2166925594,quasar in the constellation Canes Venatici,GALEX 2686337847105947433,,,Canes Venatici,,,J2000.0,46.33241575663223,,201.67061722547498,-1.021,189044,,0.435,19.9261,1.2622,,,,,,,,1.100931,,,,,,,,,,,,
Q1046098,,stellar association,2282148383,open cluster,NGC 1937,James Dunlop,1826-09-27T00:00:00Z,Dorado,http://commons.wikimedia.org/wiki/Special:FilePath/ESO-N44-central%20region-LMC-phot-31b-03-fullres.jpg,,J2000.0,-67.895,,80.6208,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22086892,,planetary nebula,2323236615,planetary nebula in the constellation Pyxis,K 1-2,,,Pyxis,,,J2000.0,-28.9601602807638,,134.4415075667851,1.457,66,,-1.57,17.0587,0.4729,,,,,,,,,,,,,,,,,,,,
Q4640343,,near-IR source,2401763188,Star in the constellation Auriga,53 Aurigae,,,Auriga,,0.48,J2000.0,28.98433753774,120.855,99.59587721595001,-13.864,11.8,,-16.783,5.744,8.2744,,32,B9Mn+F0m,2.2,0.4,12000,30000,,,,,,,,,,,,,
Q81416767,,pulsating variable star,2324342047,,LR Canis Majoris,,,Canis Major,,,J2000.0,-23.5966226364081,1059.0976,105.2131084854992,4.052,,,-3.023,9.33,0.9442,,,B9II,,,,,,,,,,,,,,,,,
Q1105558,,spiral galaxy,2303722732,galaxy,NGC 3602,Albert Marth,1865-03-04T00:00:00Z,Leo,http://commons.wikimedia.org/wiki/Special:FilePath/NGC3602%20-%20SDSS%20DR14.jpg,,J2000.0,17.4160889,,168.9513417,,6051,,,15,,,,,,,,,0.02018,,,,,,,Sb,,,,,
Q93733988,,Mira variable,2326466393,Mira variable star in the constellation Coma Berenices,DZ Comae Berenices,,,Coma Berenices,,,J2000.0,18.4690152536697,,191.5560997721472,-1.621,,,-0.806,13.9594,0.1335,SRa semi-regular variable star,,,,,,,,,,,,,,,,,,,
Q958427,,Jupiter-family comet,2046118584,comet,245P/WISE,Wide-field Infrared Survey Explorer,2010-06-02T00:00:00Z,,,17.4,"August 5, 2009",,,,,,,,,,,,,,,,,,0.4661482477625526,Sun,4.007539364720247,316.399918621966,2930.32049317155,2455232.0373696205,,21.08783946026243,337.4517998228177,2.139431912016451,318.5272055307978,5.875646817424045
Q120556239,,trans-Neptunian object,2328256703,asteroid,2012 UE185,,,,,6.43,"May 5, 2025",,,,,,,,,,,,,,,,,,0.1541538414392311,Sun,42.02597082977058,244.7083534730158,99511.909300902,2450273.026833415,,20.47677077276662,38.08479172589113,35.54750598614837,202.2328490876363,48.50443567339278
Q584326,,active galactic nucleus,2303722180,galaxy in the constellation Ursa Major,NGC 4964,William Herschel,1789-04-14T00:00:00Z,Ursa Major,http://commons.wikimedia.org/wiki/Special:FilePath/NGC4964%20-%20SDSS%20DR14.jpg,,J2000.0,56.3226778,,196.3536375,,2543,,,13.1,,,,,,,,,0.00846,,,,,,,S0,,,,,
Q1168356,,active galactic nucleus,2354672537,active galactic nucleus,NGC 7620,Albert Marth,1864-09-05T00:00:00Z,Pegasus,http://commons.wikimedia.org/wiki/Special:FilePath/NGC7620%20-%20SDSS%20DR14.jpg,,J2000.0,24.2211466676616,134.6,350.0236879019498,,9582,,,12.9,,,,,,,,,0.031962,,,,,,,Sc,,,,,
Q78936988,,long-period variable star,2313333922,long period variable,NX Geminorum,,,Gemini,,,J2000.0,23.4580549190595,884.017,97.7274078966589,-4.441,,,-1.343,10.38,1.1312,,,,,,,,,,,,,,,,,,,,
Q18926840,,comet,2044673185,comet,C/2000 SV74 (LINEAR),,,,,9.5,"December 17, 2002",,,,,,,,,,,,,,,,,,1.004861880602449,,-728.503514854679,76.23935368466637,,2452395.031112595,,75.23666593758719,0.01155231179543129,3.541897107687855,24.18631448746829,
Q30895373,,hyperbolic comet,2045678100,comet,C/1966 R1 (Ikeya-Everhart),,,,,,"September 23, 1966",,,,,,,,,,,,,,,,,,1.000046376510125,,-19014.6526853997,50.04447608982156,,2439342.820849251,,48.27887562781181,0.00001829845705583828,0.8818332327890895,107.6589239988931,
Q4039151,Hyades,star,2344925789,star,GJ 3323,,,Eridanus,,13.1,J2000.0,-6.94621563374917,5.375,75.48927554894667,-533.648,17.252,0.164,-551.746,12.196,186.0466,rotating variable star,3.8,M4.0,0.119,-0.08,3296,135000,,,,,,,,,,,,,
Q2091184,,astrophysical X-ray source,2315869198,variable star in the constellation Camelopardalis,Z Camelopardalis,,,Camelopardalis,http://commons.wikimedia.org/wiki/Special:FilePath/Z%20Camelopardalis%20UV.jpg,,J2000.0,73.1109123424082,225.3826,126.3049953740778,-19.078,-38,,-9.003,10,4.4369,dwarf nova,,,,,,,,,,,,,,,,,,,
